danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,retro
0.763,0.659,1,-4.768,0.0516,0.0167,6.87e-05,0.135,0.846,127.978,4,False
0.638,0.832,8,-5.039,0.049,0.141,0,0.113,0.648,124.071,4,False
0.671,0.939,8,-3.206,0.161,0.191,0,0.298,0.53,129.024,4,False
0.706,0.558,2,-7.237,0.0593,0.146,0,0.118,0.227,110.443,4,False
0.723,0.758,9,-4.418,0.0506,0.0175,0,0.307,0.657,128.033,4,False
0.76,0.371,6,-8.964,0.0531,0.00772,0,0.0785,0.653,138.023,4,False
0.738,0.804,11,-3.851,0.0621,0.332,0,0.279,0.949,174.943,4,False
0.693,0.479,1,-12.405,0.0765,0.0232,4.85e-05,0.0969,0.509,94.002,4,False
0.739,0.818,8,-5.062,0.0418,0.008,0.00504,0.164,0.713,119.982,4,False
0.606,0.497,4,-6.611,0.0277,0.348,0,0.275,0.362,130.739,4,False
0.592,0.655,7,-6.891,0.0553,0.0649,1.43e-05,0.166,0.439,159.991,4,False
0.646,0.795,9,-3.293,0.0976,0.0319,0,0.267,0.796,89.99,4,False
0.349,0.348,3,-6.142,0.0316,0.726,0,0.12,0.0886,74.541,4,False
0.666,0.878,7,-2.85,0.0973,0.03,0,0.0828,0.669,119.932,4,False
0.606,0.612,2,-3.676,0.028,0.211,3.7e-06,0.128,0.477,127.882,4,False
0.709,0.907,4,-4.844,0.0386,0.0692,0,0.221,0.769,101.004,4,False
0.864,0.495,0,-7.036,0.037,0.591,0.000133,0.0992,0.72,129.062,4,False
0.745,0.756,4,-4.749,0.0429,0.021,0,0.356,0.495,109.999,4,False
0.694,0.836,1,-3.238,0.0639,0.00358,0,0.186,0.744,109.844,4,False
0.529,0.791,1,-4.894,0.0289,0.00483,0.758,0.739,0.278,140.045,4,False
0.698,0.844,7,-4.549,0.067,0.0577,1.69e-05,0.105,0.446,126.937,4,False
0.747,0.716,11,-2.457,0.0751,0.135,0,0.251,0.751,125.006,4,False
0.624,0.889,5,-3.772,0.0504,0.101,0,0.227,0.45,127.019,4,False
0.781,0.445,2,-6.061,0.0295,0.474,0,0.184,0.591,78.998,4,False
0.609,0.378,4,-9.828,0.438,0.835,0,0.28,0.515,100.418,4,False
0.717,0.653,1,-5.634,0.0658,0.229,0,0.101,0.412,106.966,4,False
0.707,0.629,0,-4.581,0.0563,0.259,1.6e-05,0.138,0.457,122.863,4,False
